system:index,CGMD_FCC_pct_mean,CGMD_FCC_pct_median,CGMD_FCC_pct_p25,CGMD_FCC_pct_p75,CGMD_extent_area_ha,year,.geo
0,84.383449423065,91.0,81.0,98.0,42972.02188708438,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,85.29208920553515,91.0,82.0,98.0,43225.270917206224,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,86.21719487615492,92.0,84.0,100.0,43218.981527838114,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,85.86941644743098,92.0,83.0,99.0,43229.58778218359,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,86.51492232352808,92.0,84.0,100.0,43145.443796739484,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,86.15151409232557,92.0,84.0,99.0,43124.09217820105,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,85.9998141751379,91.0,84.0,99.0,43056.97146858714,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,86.49105734143993,92.0,85.0,99.0,43029.12293768279,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,86.17855388272781,92.0,84.0,98.0,42948.46859558983,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,85.20624488729774,90.0,82.0,97.0,42835.9705475801,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,84.99333379593465,90.0,82.0,97.0,42756.81903742866,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,86.28037935930365,90.0,84.0,97.0,42691.81996250145,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,86.82769813494103,91.0,84.99999999999999,98.0,42576.474010234655,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,85.74881385653184,90.0,83.01083680520769,97.0,42465.27132270736,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,85.9035996074283,90.0,84.0,97.0,42287.94068851455,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,87.09720988769052,92.0,85.0,98.0,41723.888156847854,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,86.51128400814775,90.0,84.0,96.0,41120.243158211844,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,87.69035945883165,91.0,85.0,98.0,40499.87687390808,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,86.28088315435325,90.0,83.0,97.0,40475.101308802994,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,85.00713011416217,90.0,82.0,96.0,40555.27013648158,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,85.69070121214614,92.0,83.0,99.0,41565.01218527356,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,85.94398004823276,92.0,84.0,98.0,41752.54961080607,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,84.36750060125574,90.0,81.0,96.0,42063.821567177416,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,83.35959734792247,89.0,80.0,95.0,42191.30866020269,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,83.52309582075407,90.0,81.00000000000001,96.0,42352.18624072007,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,84.84513350118563,91.0,82.0,98.0,42409.050750205926,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,84.17993265806359,90.0,81.0,96.0,42487.21339893669,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,84.88712196109124,91.0,82.0,98.0,42485.46040424828,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,84.13745014736764,89.0,81.0,96.0,42352.90492257643,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,86.9011961339565,92.0,83.0,99.0,42024.46315452679,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,87.69778194008721,92.0,84.0,99.0,41282.374555601484,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
