system:index,MODIS_EVI_median,MODIS_EVI_p25,MODIS_EVI_p75,year,.geo
0,0.5293091836734695,0.4667447916666667,0.5604779279279277,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5177447580645163,0.45911111111111114,0.5526520270270271,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5334061594202899,0.4747245098039215,0.5644934108527135,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5176785234899328,0.4666201754385965,0.5528134868421051,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5056191275167784,0.45483166666666663,0.5372138036809817,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5214867647058823,0.4667622448979592,0.5605714999999999,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5253904761904765,0.47059351851851844,0.5604644144144145,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5409341614906833,0.4783991071428573,0.5722045751633987,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5175974576271188,0.45877282608695674,0.5565131578947367,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5254245283018866,0.4552736363636363,0.5604698347107439,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5255511029411767,0.46282714285714294,0.560267757009346,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5292224025974026,0.459096052631579,0.5680934782608696,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5292925233644857,0.46274137931034487,0.5683737864077667,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.490242916666667,0.4242530612244898,0.5214375886524822,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5174808035714286,0.4552462962962963,0.5604657258064514,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.49028666666666687,0.4277159090909091,0.5253697183098591,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.50593,0.4433488095238094,0.5410166666666669,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.4940744094488191,0.4315791666666666,0.533214285714286,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5020389380530974,0.4391813559322032,0.5410484496124033,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.517682456140351,0.4553084905660378,0.5565820388349512,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.53725,0.4862434426229509,0.5720937500000003,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5214895833333334,0.47084000000000015,0.5566918803418804,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5564731343283584,0.5138524096385543,0.595442920353982,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
