system:index,VPD_kPa,air_temperature_2m_C,precipitation_mm,sea_surface_elevation_anomaly_m,sea_surface_salinity_psu,sea_surface_temperature_C,year,.geo
0,0.4657800102375122,25.896070830317342,3120.0837163100596,0.651929029362025,29.47975296821609,29.051734569800058,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4982598298621673,26.084013528733465,2961.579513089922,0.5871551705419343,30.29036116056205,29.334156565568694,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.49067656094641593,26.130546175932977,3349.1717010081243,0.6383760496933208,29.968000413995334,29.508513208463818,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.48787742082887386,25.95904220433181,2931.270237045508,0.6366036220880992,29.96008069427806,29.31704151437926,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.47180581099014296,25.984781744232805,2100.5907052693115,0.5514856088906627,30.16354666470023,29.353330376603882,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.49455635672308995,26.58158115150013,2879.068042592869,0.6577734168495754,30.40256247113225,29.90531063843077,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.48501718316609066,25.848634265820806,3509.806088323609,0.6514356990292105,29.73924582473735,29.25104828684706,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5157341153836313,26.11566450911664,3288.574654782196,0.6647877486361109,29.885978477852387,29.29490525823612,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5129226849504169,26.142819510626964,2961.3855460603795,0.2354693873223759,29.963530555226907,29.451121340882043,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5684065245552844,26.55050920108414,2545.2839611685445,0.5926094837204057,30.797516938239045,29.77965549029644,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5485654810993904,26.45597216945066,3383.243679327161,0.6054937819150319,30.67500636296599,29.493661965002993,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5682562330000329,26.50356066266221,2899.4797354131697,0.5979200330845074,30.892465479292763,29.64412190845006,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5936216041661444,26.68178231213375,2930.226676244738,0.6146058594393886,30.797599085254244,29.685102365117515,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.4839960485343294,26.118074117536537,3275.349235488131,0.5782509679266399,30.049580602600923,29.632880792594587,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.49914145894145073,26.083138998018967,2841.021734819656,0.607054516557211,29.9338551151674,29.435728834445257,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.465554141631273,25.847555817665693,3422.911305778435,0.6482846004768876,29.484242426035706,29.29033859605409,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5026464114215284,26.246473406101074,3543.8446078445204,0.6412548316517306,29.445803795362064,29.378250035829858,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.5270521850134066,26.569351315454867,2878.1196854054633,0.6852161631689901,29.430414251780654,29.77279398405441,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.48779898755462725,26.103744211372657,3774.5460212839816,0.6498948222821794,29.437252834202333,29.18977471297076,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.49089057696961497,26.160540721874725,3430.577236212154,0.6526528697736568,29.21030686641957,29.403481595531517,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5185524546822988,26.313861634168347,3234.870106269596,0.6377948469832959,31.473332449435926,29.61403723354525,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.55757686767684,26.397502230191265,2885.2324425079473,0.599627596585352,31.62901325225822,29.80361346908981,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.5218344217554709,26.414283194409506,3116.715658055076,0.5921689061797512,31.708323256733056,30.01786312453772,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.55439623021782,26.87051686272315,2669.853306127012,0.6714153955788247,31.373370153068635,30.225872324752757,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5083479531122173,26.38745808426603,3558.984734441113,0.5766865961110462,31.640736313587666,29.83461616229942,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.5470732972909449,26.472789722868413,3469.3694843054996,0.5515840787907443,24.50466547798741,29.334394196809583,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.5522241667151337,26.72541568941449,2842.231059776995,0.4910478648082558,32.63535121571623,29.8375912567295,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.5332606113517031,26.635496241621013,3280.0106971526393,0.5607143817302956,24.62366611779221,30.00545511422896,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.5572413354431991,26.478350018637343,3207.757138438875,0.5576263758924928,32.634688291228194,30.016390182879743,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.5370619145178736,26.44782594357116,3243.700808643833,0.5488670072527265,32.41822126059497,29.98661828073083,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.5032980206218145,26.52563065503324,3131.6926631503643,0.5252314684601839,31.975979478731993,30.149542030372967,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
