system:index,Kappa,OA,PA_mangrove,PA_nonmangrove,UA_mangrove,UA_nonmangrove,balanced_accuracy,edge_exclusion_m,evaluation_buffer_m,map_year,n_predicted_mangrove,n_predicted_nonmangrove,n_reference_mangrove,n_reference_nonmangrove,n_total,original_sample_exclusion_m,reference_source,reference_year,repeat_id,requested_points_per_class,seed,temporal_gap_years,.geo
1_1_1_0,0.8240000000000001,0.912,0.848,0.976,0.9724770642201835,0.8652482269503546,0.9119999999999999,60,1500,1993,218,282,250,250,500,150,CGMD_exactyear,1993,0,250,294699,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1,0.8360000000000001,0.918,0.872,0.964,0.960352422907489,0.8827838827838828,0.9179999999999999,60,1500,1993,227,273,250,250,500,150,CGMD_exactyear,1993,1,250,294800,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2,0.8160000000000001,0.908,0.836,0.98,0.9766355140186916,0.8566433566433567,0.9079999999999999,60,1500,1993,214,286,250,250,500,150,CGMD_exactyear,1993,2,250,294901,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_3,0.8640000000000001,0.932,0.892,0.972,0.9695652173913043,0.9,0.9319999999999999,60,1500,1993,230,270,250,250,500,150,CGMD_exactyear,1993,3,250,295002,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_4,0.8200000000000001,0.91,0.864,0.956,0.9515418502202643,0.8754578754578755,0.9099999999999999,60,1500,1993,227,273,250,250,500,150,CGMD_exactyear,1993,4,250,295103,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_5,0.8240000000000001,0.912,0.864,0.96,0.9557522123893806,0.8759124087591241,0.9119999999999999,60,1500,1993,226,274,250,250,500,150,CGMD_exactyear,1993,5,250,295204,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_6,0.8360000000000001,0.918,0.876,0.96,0.9563318777292577,0.8856088560885609,0.9179999999999999,60,1500,1993,229,271,250,250,500,150,CGMD_exactyear,1993,6,250,295305,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_7,0.8280000000000001,0.914,0.868,0.96,0.9559471365638766,0.8791208791208791,0.9139999999999999,60,1500,1993,227,273,250,250,500,150,CGMD_exactyear,1993,7,250,295406,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_8,0.8240000000000001,0.912,0.828,0.996,0.9951923076923077,0.8527397260273972,0.9119999999999999,60,1500,1993,208,292,250,250,500,150,CGMD_exactyear,1993,8,250,295507,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_9,0.8360000000000001,0.918,0.864,0.972,0.968609865470852,0.8772563176895307,0.9179999999999999,60,1500,1993,223,277,250,250,500,150,CGMD_exactyear,1993,9,250,295608,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
