system:index,audit_seed,latitude,longitude,map_year,p_mangrove,prediction,reference,reference_source,reference_year,temporal_gap_years,.geo
0_0,296208,4.917332949506055,100.623214498901,2023,0.028573742,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.623214498901,4.917332949506055]}"
1_0,296208,4.603371757706283,100.6194415747077,2023,0.02919859,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6194415747077,4.603371757706283]}"
2_0,296208,4.673170855282369,100.60866179129826,2023,0.14690976,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.60866179129826,4.673170855282369]}"
3_0,296208,4.608492154825764,100.61593814509963,2023,0.024117915,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61593814509963,4.608492154825764]}"
4_0,296208,4.516594501260337,100.65878778415214,2023,0.02919859,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.65878778415214,4.516594501260337]}"
5_0,296208,4.911404068630866,100.58898868657604,2023,0.022656443,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.58898868657604,4.911404068630866]}"
6_0,296208,4.620888905746613,100.68519825350525,2023,0.023338033,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.68519825350525,4.620888905746613]}"
7_0,296208,4.923261830381244,100.47391449868033,2023,0.5934577,1,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47391449868033,4.923261830381244]}"
8_0,296208,4.540040530175856,100.67307099716963,2023,0.025590286,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67307099716963,4.540040530175856]}"
9_0,296208,4.773153346404872,100.56715962517194,2023,0.14690976,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56715962517194,4.773153346404872]}"
10_0,296208,4.472936378452128,100.63803670108898,2023,0.02456456,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.63803670108898,4.472936378452128]}"
11_0,296208,4.477517786401138,100.61512966134393,2023,0.14423183,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61512966134393,4.477517786401138]}"
12_0,296208,4.550011829829582,100.67091504048774,2023,0.028573742,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67091504048774,4.550011829829582]}"
13_0,296208,4.8545407111461,100.53131684533557,2023,0.35745007,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.53131684533557,4.8545407111461]}"
14_0,296208,4.694191432930766,100.58359879487134,2023,0.14690976,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.58359879487134,4.694191432930766]}"
15_0,296208,4.952367245586716,100.53050836157986,2023,0.025590286,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.53050836157986,4.952367245586716]}"
16_0,296208,4.5602526240685455,100.57551395731426,2023,0.16186711,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.57551395731426,4.5602526240685455]}"
17_0,296208,4.829477714719166,100.5774004194109,2023,0.02293504,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5774004194109,4.829477714719166]}"
18_0,296208,4.9052056931704415,100.47930439038505,2023,0.16246273,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47930439038505,4.9052056931704415]}"
19_0,296208,4.878525729232091,100.47068056365751,2023,0.16938013,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47068056365751,4.878525729232091]}"
20_0,296208,4.494495945270996,100.6059668454459,2023,0.17860512,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6059668454459,4.494495945270996]}"
21_0,296208,4.675326811964256,100.61863309095199,2023,0.14801623,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.61863309095199,4.675326811964256]}"
22_0,296208,4.603371757706283,100.6164771342701,2023,0.027671907,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6164771342701,4.603371757706283]}"
23_0,296208,4.737849555738975,100.5774004194109,2023,0.40295753,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5774004194109,4.737849555738975]}"
24_0,296208,4.951289267245773,100.47580096077698,2023,0.02919859,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.47580096077698,4.951289267245773]}"
25_0,296208,4.857235656998459,100.51083525685765,2023,0.14903536,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.51083525685765,4.857235656998459]}"
26_0,296208,4.538154068079205,100.63803670108898,2023,0.14744358,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.63803670108898,4.538154068079205]}"
27_0,296208,4.948055332222943,100.41866810870698,2023,0.15346801,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.41866810870698,4.948055332222943]}"
28_0,296208,4.54758637856246,100.62725691767953,2023,0.47097248,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.62725691767953,4.54758637856246]}"
29_0,296208,4.60283276853581,100.5765919356552,2023,0.17390433,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5765919356552,4.60283276853581]}"
30_0,296208,4.620080421990905,100.59303110535458,2023,0.14423183,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.59303110535458,4.620080421990905]}"
31_0,296208,4.698233851709304,100.69813399359657,2023,0.023281291,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.69813399359657,4.698233851709304]}"
32_0,296208,4.94886381597865,100.5315863399208,2023,0.023499742,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.5315863399208,4.94886381597865]}"
33_0,296208,4.496382407367648,100.64100114152657,2023,0.023281291,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.64100114152657,4.496382407367648]}"
34_0,296208,4.887688545130111,100.6547453653736,2023,0.022888876,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.6547453653736,4.887688545130111]}"
35_0,296208,4.859391613680346,100.50787081642005,2023,0.37930954,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.50787081642005,4.859391613680346]}"
36_0,296208,4.818967425894967,100.65905727873736,2023,0.08557565,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.65905727873736,4.818967425894967]}"
37_0,296208,4.936197570472565,100.56742911975718,2023,0.02258656,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56742911975718,4.936197570472565]}"
38_0,296208,4.595286920149206,100.57847839775185,2023,0.16606182,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.57847839775185,4.595286920149206]}"
39_0,296208,4.945899375541056,100.44346161054868,2023,0.024117915,0,0,CGMD_exactyear,2023,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.44346161054868,4.945899375541056]}"
