category,filename,description,publication_status,source_project_path,public_folder_relative_path,size_MB,copy_status,public_google_drive_url
01_Core_Derived_Products,MMFR_RF_class_probability_1993.tif,Random Forest mangrove probability product for 1993.,CORE,MMFR_RF_class_probability_1993.tif,01_Core_Derived_Products/MMFR_RF_class_probability_1993.tif,6.275,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_RF_class_probability_2003.tif,Random Forest mangrove probability product for 2003.,CORE,MMFR_RF_class_probability_2003.tif,01_Core_Derived_Products/MMFR_RF_class_probability_2003.tif,6.314,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_RF_class_probability_2013.tif,Random Forest mangrove probability product for 2013.,CORE,MMFR_RF_class_probability_2013.tif,01_Core_Derived_Products/MMFR_RF_class_probability_2013.tif,5.127,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_RF_class_probability_2023.tif,Random Forest mangrove probability product for 2023.,CORE,MMFR_RF_class_probability_2023.tif,01_Core_Derived_Products/MMFR_RF_class_probability_2023.tif,5.069,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_change_1993_2023.tif,Endpoint mangrove transition raster for 1993-2023.,CORE,MMFR_change_1993_2023.tif,01_Core_Derived_Products/MMFR_change_1993_2023.tif,0.09,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_distance_to_persistent_water_m.tif,Euclidean distance to persistent-water raster used in water-edge analysis.,CORE,MMFR_distance_to_persistent_water_m.tif,01_Core_Derived_Products/MMFR_distance_to_persistent_water_m.tif,6.409,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
01_Core_Derived_Products,MMFR_largest_annual_NDMI_decline.tif,Largest annual NDMI-decline timing/magnitude raster used in disturbance diagnostics.,CORE,MMFR_largest_annual_NDMI_decline.tif,01_Core_Derived_Products/MMFR_largest_annual_NDMI_decline.tif,2.122,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
02_RF_Hard_Class_Maps,RF_1993.tif,Random Forest hard-class mangrove map for 1993.,SUPPORTING,IPYNB/Data/RAW_GEE/RF_1993.tif,02_RF_Hard_Class_Maps/RF_1993.tif,0.153,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
02_RF_Hard_Class_Maps,RF_2003.tif,Random Forest hard-class mangrove map for 2003.,SUPPORTING,IPYNB/Data/RAW_GEE/RF_2003.tif,02_RF_Hard_Class_Maps/RF_2003.tif,0.137,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
02_RF_Hard_Class_Maps,RF_2013.tif,Random Forest hard-class mangrove map for 2013.,SUPPORTING,IPYNB/Data/RAW_GEE/RF_2013.tif,02_RF_Hard_Class_Maps/RF_2013.tif,0.16,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
02_RF_Hard_Class_Maps,RF_2023.tif,Random Forest hard-class mangrove map for 2023.,SUPPORTING,IPYNB/Data/RAW_GEE/RF_2023.tif,02_RF_Hard_Class_Maps/RF_2023.tif,0.144,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
03_Predictor_Stacks,MMFR_predictor_stack_1993.tif,Common Landsat spectral predictor stack used for RF mapping in 1993.,SUPPORTING,MMFR_predictor_stack_1993.tif,03_Predictor_Stacks/MMFR_predictor_stack_1993.tif,120.313,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
03_Predictor_Stacks,MMFR_predictor_stack_2003.tif,Common Landsat spectral predictor stack used for RF mapping in 2003.,SUPPORTING,MMFR_predictor_stack_2003.tif,03_Predictor_Stacks/MMFR_predictor_stack_2003.tif,122.167,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
03_Predictor_Stacks,MMFR_predictor_stack_2013.tif,Common Landsat spectral predictor stack used for RF mapping in 2013.,SUPPORTING,MMFR_predictor_stack_2013.tif,03_Predictor_Stacks/MMFR_predictor_stack_2013.tif,124.582,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
03_Predictor_Stacks,MMFR_predictor_stack_2023.tif,Common Landsat spectral predictor stack used for RF mapping in 2023.,SUPPORTING,MMFR_predictor_stack_2023.tif,03_Predictor_Stacks/MMFR_predictor_stack_2023.tif,124.989,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
04_Landsat_Composites,Landsat_1993.tif,Landsat composite/context raster for 1993.,SUPPORTING,IPYNB/Data/RAW_GEE/Landsat_1993.tif,04_Landsat_Composites/Landsat_1993.tif,138.969,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
04_Landsat_Composites,Landsat_2003.tif,Landsat composite/context raster for 2003.,SUPPORTING,IPYNB/Data/RAW_GEE/Landsat_2003.tif,04_Landsat_Composites/Landsat_2003.tif,124.823,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
04_Landsat_Composites,Landsat_2013.tif,Landsat composite/context raster for 2013.,SUPPORTING,IPYNB/Data/RAW_GEE/Landsat_2013.tif,04_Landsat_Composites/Landsat_2013.tif,97.54,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
04_Landsat_Composites,Landsat_2023.tif,Landsat composite/context raster for 2023.,SUPPORTING,IPYNB/Data/RAW_GEE/Landsat_2023.tif,04_Landsat_Composites/Landsat_2023.tif,97.073,COPIED,https://drive.google.com/drive/folders/12xsJ0O_-dnXbGPHxIg4j85hOWCGSSPj6?usp=sharing
