year,threshold,area_ha
1993,0.3,39969.24530967897
1993,0.35,38716.838521157326
1993,0.4,37535.52868240524
1993,0.45,36611.26841202105
1993,0.5,35749.89488793681
1993,0.55,34979.91013317197
1993,0.6,34173.5784657144
1993,0.65,33430.23095661502
1993,0.7,32804.67349437998
2003,0.3,39081.03856837108
2003,0.35,38009.14822680888
2003,0.4,37151.239589360586
2003,0.45,36292.97005074385
2003,0.5,35474.09109021755
2003,0.55,34763.108810389786
2003,0.6,34169.91349247396
2003,0.65,33620.73017322943
2003,0.7,33027.079156568405
2013,0.3,42747.11659810752
2013,0.35,41881.87793600483
2013,0.4,40871.27926092942
2013,0.45,36772.0818793864
2013,0.5,36238.83400238433
2013,0.55,35769.64637123074
2013,0.6,35282.10189140288
2013,0.65,34861.20822982791
2013,0.7,34408.1648718205
2023,0.3,49208.61354309775
2023,0.35,48494.681671647304
2023,0.4,40763.386476199026
2023,0.45,39975.83232163886
2023,0.5,38919.38466517735
2023,0.55,38402.26534268373
2023,0.6,36811.646033555575
2023,0.65,35990.2626695111
2023,0.7,34735.24962105421
