response,driver,lag_years,n,spearman_rho,p_raw,p_FDR
NDMI_median,precipitation_mm,0,31,0.19516129032258067,0.2927455448621295,0.7220378572325614
NDMI_median,precipitation_mm,1,30,0.13815350389321468,0.46658483426282193,0.7220378572325614
NDMI_median,precipitation_mm,2,29,-0.11970443349753691,0.5362437826663684,0.7220378572325614
NDMI_median,precipitation_mm,3,28,-0.3475643130815544,0.06994581686235511,0.685539004896937
NDMI_median,sea_surface_elevation_anomaly_m,0,31,-0.31370967741935485,0.08569237561211712,0.685539004896937
NDMI_median,sea_surface_elevation_anomaly_m,1,30,-0.189321468298109,0.3163465860744903,0.7220378572325614
NDMI_median,sea_surface_elevation_anomaly_m,2,29,-0.4615763546798029,0.011719887624603548,0.28127730299048515
NDMI_median,sea_surface_elevation_anomaly_m,3,28,-0.29064039408866993,0.13350760508418344,0.7220378572325614
NDMI_median,sea_surface_temperature_C,0,31,-0.12016129032258066,0.5196558831397389,0.7220378572325614
NDMI_median,sea_surface_temperature_C,1,30,0.18887652947719688,0.3175063206648826,0.7220378572325614
NDMI_median,sea_surface_temperature_C,2,29,0.17389162561576352,0.36698032979563655,0.7220378572325614
NDMI_median,sea_surface_temperature_C,3,28,0.02681992337164751,0.8922391547071629,0.9310321614335613
NDMI_median,sea_surface_salinity_psu,0,31,0.13991935483870968,0.4528159402963061,0.7220378572325614
NDMI_median,sea_surface_salinity_psu,1,30,-0.00689655172413793,0.9711474126155688,0.9711474126155688
NDMI_median,sea_surface_salinity_psu,2,29,0.18571428571428567,0.33477722973407675,0.7220378572325614
NDMI_median,sea_surface_salinity_psu,3,28,0.03667214012041598,0.8530207733331914,0.9305681163634816
NDMI_median,air_temperature_2m_C,0,31,-0.16572580645161292,0.37293602625639866,0.7220378572325614
NDMI_median,air_temperature_2m_C,1,30,0.12614015572858733,0.5065612472958683,0.7220378572325614
NDMI_median,air_temperature_2m_C,2,29,0.13546798029556648,0.48351008162857523,0.7220378572325614
NDMI_median,air_temperature_2m_C,3,28,0.1116584564860427,0.5716133036424444,0.7220378572325614
NDMI_median,VPD_kPa,0,31,-0.11612903225806454,0.5338636370231591,0.7220378572325614
NDMI_median,VPD_kPa,1,30,-0.047830923248053395,0.8018200804754043,0.9163658062576049
NDMI_median,VPD_kPa,2,29,-0.08522167487684727,0.6602654362910204,0.7923185235492245
NDMI_median,VPD_kPa,3,28,0.11439518336070059,0.5621623776194051,0.7220378572325614
CGMD_FCC_pct_mean,precipitation_mm,0,31,-0.005241935483870968,0.9776728208886185,0.9776728208886185
CGMD_FCC_pct_mean,precipitation_mm,1,30,0.15061179087875418,0.4269456096965032,0.7319067594797197
CGMD_FCC_pct_mean,precipitation_mm,2,29,0.27339901477832507,0.1512745115557999,0.6330801415354234
CGMD_FCC_pct_mean,precipitation_mm,3,28,-0.2698412698412698,0.16492872885874094,0.6330801415354234
CGMD_FCC_pct_mean,sea_surface_elevation_anomaly_m,0,31,0.1548387096774194,0.40557202807360526,0.7319067594797197
CGMD_FCC_pct_mean,sea_surface_elevation_anomaly_m,1,30,0.11724137931034483,0.5372314116750956,0.8058471175126434
CGMD_FCC_pct_mean,sea_surface_elevation_anomaly_m,2,29,0.038916256157635463,0.8411461270131033,0.9176139567415673
CGMD_FCC_pct_mean,sea_surface_elevation_anomaly_m,3,28,-0.4466338259441708,0.017190726559135856,0.41257743741926056
CGMD_FCC_pct_mean,sea_surface_temperature_C,0,31,-0.052822580645161286,0.7777788926510589,0.9176139567415673
CGMD_FCC_pct_mean,sea_surface_temperature_C,1,30,-0.2489432703003337,0.18464837461449848,0.6330801415354234
CGMD_FCC_pct_mean,sea_surface_temperature_C,2,29,-0.049753694581280775,0.797715472669586,0.9176139567415673
CGMD_FCC_pct_mean,sea_surface_temperature_C,3,28,0.21018062397372742,0.2830407732184888,0.7106595622027325
CGMD_FCC_pct_mean,sea_surface_salinity_psu,0,31,-0.18306451612903227,0.32426197785567756,0.7106595622027325
CGMD_FCC_pct_mean,sea_surface_salinity_psu,1,30,-0.018020022246941044,0.9247014225657185,0.9649058322424888
CGMD_FCC_pct_mean,sea_surface_salinity_psu,2,29,-0.3852216748768472,0.03905175930801558,0.4686211116961869
CGMD_FCC_pct_mean,sea_surface_salinity_psu,3,28,-0.08045977011494251,0.68400574545332,0.9120076606044267
CGMD_FCC_pct_mean,air_temperature_2m_C,0,31,-0.1366935483870968,0.4634034557016268,0.7414455291226029
CGMD_FCC_pct_mean,air_temperature_2m_C,1,30,-0.33348164627363736,0.07172010733123657,0.5737608586498926
CGMD_FCC_pct_mean,air_temperature_2m_C,2,29,-0.18916256157635464,0.3257189660095857,0.7106595622027325
CGMD_FCC_pct_mean,air_temperature_2m_C,3,28,0.11056376573617953,0.5754134693830785,0.812348427364346
CGMD_FCC_pct_mean,VPD_kPa,0,31,-0.1931451612903226,0.29785804451006237,0.7106595622027325
CGMD_FCC_pct_mean,VPD_kPa,1,30,-0.1510567296996663,0.4255651913288613,0.7319067594797197
CGMD_FCC_pct_mean,VPD_kPa,2,29,-0.2576354679802955,0.17724418226448452,0.6330801415354234
CGMD_FCC_pct_mean,VPD_kPa,3,28,-0.04159824849480022,0.8335332025809923,0.9176139567415673
